date,time,district,lat,lon,civ.race,civ.gender,civ.age,civ.injured,force_id,officer_id,month,civilian_race_short,hour
2012-12-25,2012-12-25T16:25:00Z,14,41.92078,-87.6973,BLACK,MALE,30,1,49066,5,2012-12-01,civilian_black,16
2013-01-08,2013-01-08T23:43:00Z,14,41.92785,-87.69264,HISPANIC,MALE,18,1,49251,5,2013-01-01,civilian_hisp,23
2013-10-10,2013-10-10T15:29:00Z,12,NA,NA,HISPANIC,MALE,19,1,53730,5,2013-10-01,civilian_hisp,15
2014-10-12,2014-10-12T20:15:00Z,14,41.90915,-87.693306,HISPANIC,MALE,39,0,59255,5,2014-10-01,civilian_hisp,20
2012-11-13,2012-11-13T16:04:00Z,12,NA,NA,BLACK,FEMALE,23,0,48459,11,2012-11-01,civilian_black,16
2014-06-14,2014-06-14T03:45:00Z,6,41.740433,-87.6559,BLACK,MALE,23,0,57139,20,2014-06-01,civilian_black,3
2014-06-14,2014-06-14T03:45:00Z,6,41.740433,-87.6559,BLACK,MALE,25,0,57147,20,2014-06-01,civilian_black,3
2014-12-28,2014-12-28T19:13:00Z,6,NA,NA,BLACK,MALE,33,0,60322,20,2014-12-01,civilian_black,19
2015-07-09,2015-07-09T23:34:00Z,6,41.757412,-87.60782,BLACK,MALE,27,1,63198,20,2015-07-01,civilian_black,23
2012-01-29,2012-01-29T03:20:00Z,6,41.7569,-87.64421,BLACK,MALE,26,0,43688,22,2012-01-01,civilian_black,3
2012-07-16,2012-07-16T00:39:00Z,6,41.751633,-87.65135,BLACK,MALE,30,0,46550,22,2012-07-01,civilian_black,0
2012-08-02,2012-08-02T02:40:00Z,6,41.745823,-87.60312,BLACK,MALE,35,1,46862,22,2012-08-01,civilian_black,2
2012-12-02,2012-12-02T01:31:00Z,6,41.751728,-87.64408,WHITE,MALE,20,0,48719,22,2012-12-01,civilian_white,1
2013-03-03,2013-03-03T01:35:00Z,6,41.756847,-87.64785,BLACK,MALE,31,1,49973,22,2013-03-01,civilian_black,1
2013-06-17,2013-06-17T23:45:00Z,6,41.742237,-87.657166,BLACK,MALE,26,0,51841,22,2013-06-01,civilian_black,23
2012-11-21,2012-11-21T14:35:00Z,13,NA,NA,BLACK,MALE,18,0,48567,42,2012-11-01,civilian_black,14
2012-05-02,2012-05-02T02:43:00Z,24,41.996986,-87.67639,BLACK,MALE,23,0,45141,52,2012-05-01,civilian_black,2
2013-04-14,2013-04-14T03:19:00Z,24,41.99929,-87.67103,,MALE,37,0,50663,52,2013-04-01,NA,3
2012-03-28,2012-03-28T22:25:00Z,11,41.877453,-87.69501,BLACK,MALE,35,0,44634,54,2012-03-01,civilian_black,22
2012-08-09,2012-08-09T16:30:00Z,11,41.87178,-87.714134,BLACK,MALE,21,1,47012,54,2012-08-01,civilian_black,16
2012-11-25,2012-11-25T16:19:00Z,11,41.87667,-87.6974,BLACK,MALE,18,1,48639,54,2012-11-01,civilian_black,16
2013-05-03,2013-05-03T17:57:00Z,11,41.873505,-87.70101,BLACK,MALE,45,0,51002,54,2013-05-01,civilian_black,17
2013-05-10,2013-05-10T17:40:00Z,11,41.8669,-87.698364,BLACK,MALE,33,0,51127,54,2013-05-01,civilian_black,17
2013-06-10,2013-06-10T15:09:00Z,11,41.870865,-87.714424,BLACK,MALE,19,1,51701,54,2013-06-01,civilian_black,15
2013-06-26,2013-06-26T16:35:00Z,11,NA,NA,BLACK,MALE,47,1,52007,54,2013-06-01,civilian_black,16
2013-06-27,2013-06-27T15:56:00Z,11,41.86866,-87.69597,BLACK,MALE,29,1,52029,54,2013-06-01,civilian_black,15
2013-11-16,2013-11-16T11:10:00Z,15,41.88024,-87.76896,BLACK,MALE,32,0,54211,56,2013-11-01,civilian_black,11
2014-09-27,2014-09-27T03:05:00Z,16,41.976902,-87.836624,WHITE,MALE,28,1,59026,60,2014-09-01,civilian_white,3
2012-04-17,2012-04-17T22:48:00Z,6,41.733616,-87.60476,BLACK,MALE,38,0,44927,63,2012-04-01,civilian_black,22
2013-02-27,2013-02-27T18:35:00Z,10,NA,NA,BLACK,MALE,19,0,49909,69,2013-02-01,civilian_black,18
2013-03-27,2013-03-27T15:13:00Z,10,41.854996,-87.714195,BLACK,MALE,20,0,50369,69,2013-03-01,civilian_black,15
2013-07-08,2013-07-08T19:20:00Z,10,41.859913,-87.711586,BLACK,MALE,62,0,52234,69,2013-07-01,civilian_black,19
2014-07-14,2014-07-14T20:47:00Z,10,NA,NA,BLACK,MALE,25,0,57793,69,2014-07-01,civilian_black,20
2015-02-02,2015-02-02T15:04:00Z,10,41.858456,-87.71398,BLACK,MALE,27,0,60763,69,2015-02-01,civilian_black,15
2015-05-26,2015-05-26T19:10:00Z,10,41.85121,-87.66882,HISPANIC,MALE,33,0,62375,69,2015-05-01,civilian_hisp,19
2013-06-25,2013-06-25T18:47:00Z,10,41.855007,-87.72431,BLACK,MALE,26,0,51996,72,2013-06-01,civilian_black,18
2012-02-07,2012-02-07T16:55:00Z,7,NA,NA,BLACK,MALE,35,0,43849,74,2012-02-01,civilian_black,16
2012-03-13,2012-03-13T17:15:00Z,7,41.770252,-87.67491,BLACK,MALE,28,0,44348,74,2012-03-01,civilian_black,17
2013-01-24,2013-01-24T19:00:00Z,24,42.007328,-87.66502,WHITE,MALE,51,1,49466,77,2013-01-01,civilian_white,19
2013-02-22,2013-02-22T17:10:00Z,19,NA,NA,BLACK,MALE,50,0,49864,83,2013-02-01,civilian_black,17
